Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Nina Curtis,F,24.0,167.0,68.0,Australia,AUS,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Silver
"Thomas Pelham ""Tom"" Curtis",M,23.0,176.0,66.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,Gold
Juan Esteban Curuchet,M,43.0,175.0,65.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Madison,Gold
Robert Stephen Cusack,M,17.0,171.0,70.0,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
"Clifton Emmett ""Cliff"" Cushman",M,22.0,188.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres Hurdles,Silver
"Elizabeth Alyse ""Betty"" Cuthbert",F,18.0,169.0,57.0,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 100 metres,Gold
"Elizabeth Alyse ""Betty"" Cuthbert",F,18.0,169.0,57.0,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 200 metres,Gold
"Elizabeth Alyse ""Betty"" Cuthbert",F,18.0,169.0,57.0,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
"Elizabeth Alyse ""Betty"" Cuthbert",F,26.0,169.0,57.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 400 metres,Gold
Juliet Jean Cuthbert,F,28.0,160.0,54.0,Jamaica,JAM,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres,Silver
Juliet Jean Cuthbert,F,28.0,160.0,54.0,Jamaica,JAM,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 200 metres,Silver
Juliet Jean Cuthbert,F,32.0,160.0,54.0,Jamaica,JAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Laura Cutina,F,15.0,143.0,36.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold
John Edwin Cutler,M,26.0,185.0,89.0,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed One Person Dinghy,Bronze
Calistrat Cuov,M,20.0,175.0,64.0,Romania,ROU,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Lightweight,Bronze
Simion Cuov,M,24.0,175.0,60.0,Romania,ROU,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Lightweight,Silver
Angela Cutrone,F,23.0,163.0,60.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
Zoran utura,M,26.0,202.0,97.0,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,Silver
Borislav Cvetkovi,M,21.0,178.0,68.0,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Bronze
Vladimir Cvetkovi,M,27.0,196.0,92.0,Yugoslavia,YUG,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Silver
udovt Cvetler,M,26.0,171.0,69.0,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,Silver
Danko Cvjetianin,M,24.0,199.0,90.0,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,Silver
Danko Cvjetianin,M,28.0,199.0,90.0,Croatia,CRO,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Silver
"Stanley Francis ""Stan"" Cwiklinski",M,21.0,189.0,86.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Gold
Krystyna Czajkowska-Rawska,F,28.0,172.0,63.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Bronze
Krystyna Czajkowska-Rawska,F,32.0,172.0,63.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Bronze
Kazimierz Czarnecki,M,28.0,165.0,67.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Lightweight,Bronze
Barbara Czekalla,F,28.0,173.0,67.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Silver
Kurt Czekalla,M,38.0,182.0,89.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Shooting,Shooting Mixed Trap,Bronze
Attila Czene,M,18.0,185.0,76.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
Attila Czene,M,22.0,185.0,76.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Individual Medley,Gold
Natalia Barbara Czerwonka,F,25.0,177.0,70.0,Poland,POL,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Silver
Kinga Czigny,F,20.0,173.0,64.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Grzegorz Cziura,M,24.0,157.0,55.5,Poland,POL,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Bantamweight,Silver
Agnieszka Ewa Czopek (-Sadowska),F,16.0,172.0,63.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
Harald Czudaj,M,30.0,180.0,90.0,Germany-2,GER,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,Gold
Maciej Tomasz Czyowicz,M,30.0,176.0,72.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Andrs Nicols D'Alessandro,M,23.0,170.0,70.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Gold
Michal D'Almeida,M,24.0,176.0,80.0,France,FRA,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Team Sprint,Silver
Michal D'Almeida,M,28.0,176.0,80.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,Bronze
Giuseppe D'Altrui,M,26.0,185.0,82.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,Gold
Marco D'Altrui,M,28.0,180.0,72.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,Gold
"Vincenzo ""Enzo"" D'Angelo",M,25.0,186.0,95.0,Italy,ITA,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,Silver
Sabrina D'Angelo,F,23.0,173.0,71.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
Francesco D'Aniello,M,39.0,170.0,80.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Double Trap,Silver
"Victor Henry Augustus ""Vic"" d'Arcy",M,24.0,172.0,63.0,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Jos Telles da Conceio,M,21.0,186.0,74.0,Brazil,BRA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's High Jump,Bronze
Adhemar Ferreira da Silva,M,24.0,178.0,69.0,Brazil,BRA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Triple Jump,Gold
Adhemar Ferreira da Silva,M,29.0,178.0,69.0,Brazil,BRA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Triple Jump,Gold
Andr Domingos da Silva,M,23.0,187.0,78.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Andr Domingos da Silva,M,27.0,187.0,78.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Arnaldo de Oliveira da Silva,M,32.0,174.0,71.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
